ticker,frequency
AMZN,7
IFNNY,6
V,5
AAPL,5
WMT,5
GOOG,5
GOOGL,4
KTOS,4
MSFT,4
HDS,4
SPCE,4
TSM,4
BABA,3
TLRY,3
BLL,3
D,3
FB,3
PG,3
MCD,3
PYPL,3
MRK,3
W,3
MA,3
INTC,3
AMGN,3
TSLA,3
VCYT,3
BRK.B,3
HD,3
BXS,3
WEC,3
MCO,2
COLD,2
IBM,2
FDX,2
EW,2
DASTY,2
COST,2
AM,2
CMS,2
CHTR,2
FLEX,2
JNJ,2
NEM,2
LZAGY,2
RIO,2
SSMXY,2
STT,2
SGSOY,2
SAP,2
SPGI,2
TFC,2
RHHBY,2
USB,2
DKNG,2
UNH,2
OKE,2
NVDA,2
NOC,2
ALXN,2
NSRGY,2
MSI,2
VIAC,2
RSG,2
ROP,2
AAGIY,2
ZOOM,2
SBUX,2
QCOM,2
BKEP,2
INFO,2
CFG,2
BAC,2
DIS,2
ADBE,2
FISV,2
SITE,2
ECL,2
PHR,2
ICUI,2
BIIB,2
DXCM,2
CACI,2
WYND,1
ZTS,1
WH,1
YNDX,1
ZG,1
Z,1
NGLS,1
FNRVGX,1
HII,1
GM,1
ARNC,1
HAE,1
DOCU,1
CHWY,1
ICE,1
--,1
MJNA,1
WMB,1
BXS$A,1
WLK,1
UBER,1
TGT,1
TCEHY,1
NCMGF,1
TMO,1
TOL,1
TRU,1
EQNR,1
BHP,1
ZUO,1
UNICY,1
WBA,1
UL,1
UNP,1
UPS,1
TDG,1
UNVR,1
VRSK,1
VTRS,1
ADDYY,1
VMC,1
FSLR,1
ASML,1
APD,1
PRU,1
SIRI,1
SYF,1
VFC,1
WM,1
APPL,1
STZ,1
GTN,1
MCS,1
QCHR,1
ZBRA,1
SHAK,1
HSIP,1
SJCOG,1
ROKU,1
ENLC,1
NS,1
PBFX,1
USAC,1
USDP,1
GLD,1
DNKN,1
COHR,1
AMAT,1
KR,1
KMI,1
PSA,1
PRAH,1
SPXC,1
MTB,1
BPHSPX,1
CLX,1
HUM,1
LIN,1
ADI,1
CHD,1
PLUG,1
RTX,1
VRTX,1
FCEL,1
CLYCT,1
ALOID,1
LDOS,1
SAIC,1
AME,1
TMUBMUSD03M,1
ARW,1
CCEP,1
CMP,1
COP,1
CSGP,1
F,1
LH,1
HRL,1
LB,1
SNPS,1
ORCL,1
SYIEY,1
SIVB,1
BA,1
BSX,1
AVGO,1
CDNS,1
CNI,1
CCL,1
CAT,1
SCHW,1
CHKP,1
CHGCY,1
CI,1
XEC,1
CTAS,1
CMCSA,1
CLGX,1
CCK,1
DHR,1
DBSDY,1
DEO,1
FANG,1
DFS,1
DG,1
DXC,1
EMN,1
ETN,1
EMR,1
EHC,1
EPOKY,1
EQIX,1
BBY,1
BAX,1
ATLKY,1
ADDDYY,1
DOMO,1
INTL,1
LMT,1
MU,1
TMUS,1
GO,1
DELL,1
CHNG,1
CDW,1
ABT,1
ABBV,1
ACHC,1
ATVI,1
AMD,1
ATH,1
ADYEY,1
A,1
AL,1
ALC,1
ALFVY,1
ADS,1
ALIZY,1
ABEV,1
AMT,1
AWK,1
ANTM,1
AON,1
T,1
EXPE,1
XOM,1
FANUY,1
PEP,1
NFLX,1
NYT,1
NEE,1
NKE,1
NCLTY,1
NVZMY,1
NUE,1
NVR,1
OKTA,1
OMF,1
SEP,1
ORLY,1
PH,1
PFE,1
MSCI,1
PSX,1
PNGAY,1
PNC,1
PLD,1
RMD,1
ROK,1
SC,1
SLB,1
SBGSY,1
SEE,1
ST,1
SNAP,1
SONVY,1
NTAP,1
MOS,1
FITB,1
ITUB,1
BEN,1
FUPBY,1
GLPI,1
GPN,1
HDB,1
HSIC,1
HRC,1
HSBC,1
HUN,1
IBN,1
IDXXX,1
PODD,1
ISRG,1
JBL,1
MS,1
JPM,1
KKR,1
KMTUY,1
KUBTY,1
AIQUY,1
LYV,1
LRLCY,1
LOW,1
LULU,1
LYB,1
MMC,1
MTCH,1
MCHP,1
WOLWF,1
